t,sigma_base,D_plus,D_minus,z_dis,z_ch,frac_up,frac_dn,frac_sym,sigma_eff_est
85,0.0,0.04056448612700399,0.04056448612700399,5.035415513563423e-10,1.0929753466688178e-09,1.2413359552486285e-08,2.6944143782490035e-08,1.9678751667488158e-08,0.0
86,0.0,0.040329334052497626,0.040329334052497626,5.339868045035178e-10,1.2334913592620791e-09,1.3240655147154546e-08,3.05854631186425e-08,2.1913059132898524e-08,0.0
87,0.0,0.04024920179729016,0.04024920179729016,5.714234395834394e-10,1.4402342103856664e-09,1.419713718700159e-08,3.578292602271264e-08,2.4990031604857116e-08,0.0
88,0.0,0.04030213239282085,0.04030213239282085,4.85572162481451e-10,9.743322424245015e-10,1.2048299522929151e-08,2.4175699512070047e-08,1.81119995174996e-08,0.0
89,0.0,0.04044302644940878,0.04044302644940878,5.228112484316401e-10,1.1209220294065774e-09,1.2927104975332104e-08,2.7716076857125602e-08,2.0321590916228852e-08,0.0
90,0.0,0.04056448612700399,0.04056448612700399,5.708339417069269e-10,1.346547451629388e-09,1.4072258672763508e-08,3.319523011861808e-08,2.3633744395690792e-08,0.0
91,0.0,0.040628107100713774,0.040628107100713774,6.376115798706797e-10,1.7630105483461383e-09,1.5693853968881503e-08,4.339386385823436e-08,2.9543858913557933e-08,0.0
92,0.0,0.04059605661201463,0.04059605661201463,4.853484834800097e-10,9.130068610854736e-10,1.1955557361607582e-08,2.249003812885767e-08,1.7222797745232626e-08,0.0
93,0.0,0.040660636458021725,0.040660636458021725,5.565798645620702e-10,1.1690834053670643e-09,1.3688419883360322e-08,2.875221607940232e-08,2.122031798138132e-08,0.0
94,0.0,0.04079551941010713,0.04079551941010713,6.953326068589063e-10,1.6031832328725645e-09,1.704433763592766e-08,3.929802233319217e-08,2.8171179984559912e-08,0.0
95,0.0,0.040901652187539585,0.040901652187539585,9.91457486842353e-10,2.574415101252125e-09,2.4240035153015015e-08,6.294159193002976e-08,4.3590813541522384e-08,0.0
